id,layer,x,y
278,0,417.07734375,734.07734375
279,0,559.2,597.7562499999999
280,0,559.14765625,734.0890625
281,0,442.26171875,734.0835937499997
282,0,559.0375000000001,432.60000000000014
283,0,594.8125,734.15
285,0,594.825,293.0625
287,0,660.4375,734.525
288,0,660.4375,598.2125
289,0,754.0,598.3
290,0,754.0125,734.45
291,0,747.25,734.4375
292,0,722.875,734.525
293,0,761.3125,734.525
294,0,847.6625,598.1500000000001
295,0,847.3875,734.4750000000001
296,0,784.1875,734.525
297,0,910.0250000000001,734.5000000000002
298,0,909.96875,547.8249999999998
299,0,941.5375,734.5
300,0,909.95,597.78125
301,0,972.4500000000002,597.7437500000001
302,0,972.25625,734.5312500000001
303,0,964.73125,734.4250000000002
304,0,979.75,734.5000000000001
305,0,1034.0281249999996,547.796875
306,0,1033.990625,503.5281249999995
307,0,1221.7843749999995,503.5968749999998
308,0,1221.8,547.8281249999999
309,0,1159.4437500000004,547.740625
310,0,1128.990625,547.7499999999999
311,0,1221.7656250000005,734.425
312,0,1215.440625,734.303125
313,0,1192.1625,734.525
314,0,1003.434375,734.4906249999999
315,0,660.484375,292.9828125
316,0,660.4562500000001,180.4015625
317,0,666.509375,180.39375
318,0,690.4015624999998,180.39375
319,0,816.5015625,180.4296875
320,0,847.6593750000001,180.46562500000002
321,0,847.6546875,410.6625
322,0,660.4843749999999,410.6625
323,0,839.8671875,180.40625
324,0,847.5562500000002,293.38359375
325,0,940.36484375,293.38359375
326,0,940.4984374999998,180.34765625000006
327,0,972.35,180.41171875
328,0,940.4906250000001,306.02578125
329,0,1003.4015625000001,305.8898437500001
330,0,1003.4554687499999,180.36562500000005
331,0,997.41640625,180.43578124999993
332,0,1066.4453125,305.76562499999994
333,0,1066.4453125,180.446875
334,0,1034.625,180.50468750000002
335,0,1011.2109375,180.33124999999998
336,0,1097.5187499999993,180.446875
337,0,1128.5078124999995,305.75
338,0,1128.5390625,180.3625
339,0,1121.4375,180.42031250000002
340,0,1135.81875,180.3890625
341,0,1222.3734375000004,305.86562499999997
342,0,1222.3265624999995,180.53593750000005
343,0,1159.490625,180.5625
344,0,1199.1125,305.81531249999983
345,0,1198.9171874999997,352.33593749999994
346,0,1260.0328125,352.3375
347,0,1260.1296875000003,293.996875
348,0,1355.7696874999986,294.0131250000002
349,0,1355.753125,288.24062499999997
350,0,1427.71484375,288.22187500000007
351,0,1427.64609375,293.20703125
352,0,1439.0945312500016,293.24921875000007
353,0,1439.021093750001,379.37890625
354,0,1316.1289062500005,379.53671875
355,0,1316.12890625,441.81640625
356,0,1438.9187499999998,441.9187499999998
357,0,1438.9054687500002,434.984375
358,0,1439.0789062499998,412.5859375
359,0,1438.9499999999998,450.2734375
360,0,1316.1624999999995,504.43671874999984
361,0,1438.71484375,504.44999999999993
362,0,1438.74375,472.13671875
363,0,1438.71484375,536.58984375
364,0,1316.1007812500002,567.05859375
365,0,1438.8218749999996,567.11640625
366,0,1438.80859375,560.35546875
367,0,1438.80859375,575.05078125
369,0,1316.1476562499993,625.55859375
371,0,1221.7265625000005,625.55859375
372,0,1316.1109375,734.74609375
373,0,1438.8367187500003,734.74609375
374,0,1438.8367187500003,596.734375
376,0,1477.8585937500002,180.69609375
377,0,1477.82890625,294.7328125
378,0,1577.0,180.72031249999998
379,0,1577.0296875000001,184.54140625
380,0,1477.86171875,320.44296875
381,0,1477.7656250000005,734.4359375000003
382,0,1547.05,734.3500000000001
383,0,1571.2000000000005,734.35
384,0,1577.1999999999998,734.4
385,0,1577.2406250000004,393.6500000000089
386,0,1477.6406250000032,393.6518750000003
387,0,1577.2328125000008,353.36875
388,0,1527.8523437500003,393.7046875000001
389,0,1527.89453125,325.0023437499999
390,0,1577.13671875,324.95781250000005
391,0,1577.13671875,327.8515625
392,0,1577.1031249999996,320.4625000000001
394,0,1527.8468749999995,283.25624999999985
395,0,1477.8500000000026,283.17187499999983
396,0,1527.909375,274.490625
397,0,1577.065625,274.490625
398,0,1577.05,293.221875
399,0,1577.0375000000004,209.671875
400,0,1477.8249999999998,643.6000000000001
401,0,1577.2250000000004,643.65
